execution,phase,year,month,day,hour,minute,second,ms
s19_01,start      ,2022,7,12,15,10,25,867
s19_01,stand_start,2022,7,12,15,10,26,201
s19_01,stand_end  ,2022,7,12,15,10,27,255
s19_01,turn1_start,2022,7,12,15,10,29,777
s19_01,turn1_end  ,2022,7,12,15,10,31,43
s19_01,turn2_start,2022,7,12,15,10,33,801
s19_01,turn2_end  ,2022,7,12,15,10,34,786
s19_01,sit_start  ,2022,7,12,15,10,34,786
s19_01,sit_end    ,2022,7,12,15,10,35,740
s19_01,end        ,2022,7,12,15,10,36,460
s19_02,start      ,2022,7,12,15,10,52,698
s19_02,stand_start,2022,7,12,15,10,53,118
s19_02,stand_end  ,2022,7,12,15,10,53,919
s19_02,turn1_start,2022,7,12,15,10,56,482
s19_02,turn1_end  ,2022,7,12,15,10,57,819
s19_02,turn2_start,2022,7,12,15,11,0,511
s19_02,turn2_end  ,2022,7,12,15,11,1,616
s19_02,sit_start  ,2022,7,12,15,11,1,616
s19_02,sit_end    ,2022,7,12,15,11,2,773
s19_02,end        ,2022,7,12,15,11,3,794
s19_03,start      ,2022,7,12,15,11,19,400
s19_03,stand_start,2022,7,12,15,11,19,734
s19_03,stand_end  ,2022,7,12,15,11,21,22
s19_03,turn1_start,2022,7,12,15,11,23,781
s19_03,turn1_end  ,2022,7,12,15,11,25,238
s19_03,turn2_start,2022,7,12,15,11,27,729
s19_03,turn2_end  ,2022,7,12,15,11,28,632
s19_03,sit_start  ,2022,7,12,15,11,28,632
s19_03,sit_end    ,2022,7,12,15,11,29,838
s19_03,end        ,2022,7,12,15,11,30,709
s19_04,start      ,2022,7,12,15,11,46,536
s19_04,stand_start,2022,7,12,15,11,46,900
s19_04,stand_end  ,2022,7,12,15,11,48,120
s19_04,turn1_start,2022,7,12,15,11,51,51
s19_04,turn1_end  ,2022,7,12,15,11,52,640
s19_04,turn2_start,2022,7,12,15,11,55,186
s19_04,turn2_end  ,2022,7,12,15,11,56,123
s19_04,sit_start  ,2022,7,12,15,11,56,123
s19_04,sit_end    ,2022,7,12,15,11,56,960
s19_04,end        ,2022,7,12,15,11,57,473
s19_05,start      ,2022,7,12,15,12,29,335
s19_05,stand_start,2022,7,12,15,12,29,720
s19_05,stand_end  ,2022,7,12,15,12,31,76
s19_05,turn1_start,2022,7,12,15,12,33,830
s19_05,turn1_end  ,2022,7,12,15,12,35,167
s19_05,turn2_start,2022,7,12,15,12,37,706
s19_05,turn2_end  ,2022,7,12,15,12,38,682
s19_05,sit_start  ,2022,7,12,15,12,38,682
s19_05,sit_end    ,2022,7,12,15,12,39,789
s19_05,end        ,2022,7,12,15,12,40,455
s19_06,start      ,2022,7,12,15,12,56,228
s19_06,stand_start,2022,7,12,15,12,56,730
s19_06,stand_end  ,2022,7,12,15,12,58,36
s19_06,turn1_start,2022,7,12,15,13,0,720
s19_06,turn1_end  ,2022,7,12,15,13,2,227
s19_06,turn2_start,2022,7,12,15,13,5,28
s19_06,turn2_end  ,2022,7,12,15,13,6,99
s19_06,sit_start  ,2022,7,12,15,13,6,99
s19_06,sit_end    ,2022,7,12,15,13,7,53
s19_06,end        ,2022,7,12,15,13,7,487
s19_07,start      ,2022,7,12,15,13,28,707
s19_07,stand_start,2022,7,12,15,13,29,292
s19_07,stand_end  ,2022,7,12,15,13,30,363
s19_07,turn1_start,2022,7,12,15,13,33,234
s19_07,turn1_end  ,2022,7,12,15,13,34,265
s19_07,turn2_start,2022,7,12,15,13,36,807
s19_07,turn2_end  ,2022,7,12,15,13,37,816
s19_07,sit_start  ,2022,7,12,15,13,37,816
s19_07,sit_end    ,2022,7,12,15,13,38,803
s19_07,end        ,2022,7,12,15,13,39,221
s19_08,start      ,2022,7,12,15,13,54,835
s19_08,stand_start,2022,7,12,15,13,55,387
s19_08,stand_end  ,2022,7,12,15,13,56,422
s19_08,turn1_start,2022,7,12,15,13,59,213
s19_08,turn1_end  ,2022,7,12,15,14,0,282
s19_08,turn2_start,2022,7,12,15,14,2,987
s19_08,turn2_end  ,2022,7,12,15,14,4,26
s19_08,sit_start  ,2022,7,12,15,14,4,26
s19_08,sit_end    ,2022,7,12,15,14,5,453
s19_08,end        ,2022,7,12,15,14,5,787
s19_09,start      ,2022,7,12,15,14,21,54
s19_09,stand_start,2022,7,12,15,14,21,672
s19_09,stand_end  ,2022,7,12,15,14,22,593
s19_09,turn1_start,2022,7,12,15,14,25,345
s19_09,turn1_end  ,2022,7,12,15,14,26,586
s19_09,turn2_start,2022,7,12,15,14,29,347
s19_09,turn2_end  ,2022,7,12,15,14,30,359
s19_09,sit_start  ,2022,7,12,15,14,30,359
s19_09,sit_end    ,2022,7,12,15,14,31,395
s19_09,end        ,2022,7,12,15,14,31,897
s19_10,start      ,2022,7,12,15,14,48,76
s19_10,stand_start,2022,7,12,15,14,48,613
s19_10,stand_end  ,2022,7,12,15,14,49,731
s19_10,turn1_start,2022,7,12,15,14,52,552
s19_10,turn1_end  ,2022,7,12,15,14,53,794
s19_10,turn2_start,2022,7,12,15,14,56,472
s19_10,turn2_end  ,2022,7,12,15,14,57,628
s19_10,sit_start  ,2022,7,12,15,14,57,628
s19_10,sit_end    ,2022,7,12,15,14,59,185
s19_10,end        ,2022,7,12,15,14,59,670
